Player,testid,Date,TestName,MetricName,MetricValue
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Braking RFD(N/s),8073.8255
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Right Avg. Landing Force(N),661.4297
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Peak Braking Force(N),2171
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Peak Propulsive Force(N),2171
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,L|R Avg. Braking RFD(%),-11.0557
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Avg. Braking Force(N),1614.604
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Braking Impulse(N.s),239.007
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Avg. Relative Braking Force(%),167.4638
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Jump Height(m),0.2878
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Landing Stiffness(N/m),-32973.5873
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,System Weight(N),964.1512
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Right Avg. Braking Force(N),755.5973
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Left Avg. Landing Force(N),653.0092
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Relative Braking Net Impulse(N.s/kg),0.98
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Propulsive Net Impulse(N.s),234.3718
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Right Force at Peak Propulsive Force(N),1059
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,L|R Braking Impulse Index(%),12.0253
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Relative Peak Landing Force(%),696.8824
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Right Force at Peak Landing Force(N),3360
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Peak Landing Force(N),6719
Player5,oqgG8H3uBLY5KAsKAq1P,2022-05-23 11:27,Countermovement Jump,Propulsive Impulse(N.s),481.1945
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Positive Net Impulse(N.s),410.2044
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Avg. Braking Power(W),-953.5677
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Left Avg. Braking Force(N),655.376
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Avg. Propulsive Velocity(m/s),1.8211
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Right Force at Peak Braking Force(N),1077
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Avg. Propulsive Force(N),2030.4071
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,systemWeight,938.344
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Landing Stiffness(N/m),-4101.0229
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,L|R Avg. Landing Force(%),2.7198
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Time To Takeoff(s),0.93
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Propulsive Phase %,30.1075
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Right Avg. Propulsive Force(N),1026.3571
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Peak Braking Power(W),-1159.6492
